Student_Names,Phone_No.,Gender,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Manohar Kumar,9471906435,Female,7,No,52,49,54,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Loganathan Seth,9634752327,Male,2,No,86,50,54,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Sofik Thakur,9528710812,Male,10,Yes,62,77,25,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Binal Rao,9380686342,Female,8,No,49,28,91,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Dipul Divedi,9095910214,Male,7,Yes,44,56,82,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ramesh Singh Singh,9741959074,Male,2,No,32,77,14,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sadhana Thakur,9844004231,Female,4,Yes,50,14,32,F,Failed,Better luck next time,NULL,NULL,NULL
Barath Tiwari,9531368697,Female,5,No,77,59,62,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Himanchal Singh,9198015498,Male,8,No,82,45,75,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Preeta Gupta,9126187207,Female,8,Yes,42,70,29,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sadan Pandit,9123614421,Male,3,No,59,62,63,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Tigar Thakur,9778097259,Female,8,Yes,57,20,51,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Torun Yadav,9098022633,Male,9,No,89,32,78,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Kamru Singh,9709190509,Male,6,No,49,83,95,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Rajashekar Tiwari,9983155308,Female,7,No,24,80,82,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Hemakshi Sonkar,9049511815,Female,4,No,80,73,24,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Binod Kumar Mishra,9563376531,Female,7,Yes,38,23,87,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Pobitra Devi,9087432712,Female,7,No,21,91,49,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Chitaranjan Srivastav,9738819797,Male,9,Yes,20,64,34,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Foji Seth,9070981560,Female,3,No,46,58,57,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Heema Singh,9079646004,Female,7,No,12,75,42,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rahesh Divedi,9496224322,Female,5,Yes,75,37,47,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Taba Rao,9857817340,Female,7,Yes,38,95,59,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Rambharosh Kumari,9641571108,Male,8,Yes,35,24,25,F,Failed,Better luck next time,NULL,NULL,NULL
Kondapalli Kumar,9074564845,Female,5,No,29,83,88,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Masroor Rajput,9174244869,Male,10,No,88,92,47,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Sadeeq Rao,9105659495,Female,8,Yes,90,59,41,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Md Abdullah Thakur,9848231739,Female,8,Yes,54,68,98,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Awnish Devi,9893033178,Female,7,Yes,36,15,99,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tomba Kumar,9960198677,Female,3,Yes,39,97,34,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Satyapriya Vishwakarma,9181366583,Female,3,No,66,58,53,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Arunesh Singh,9308539803,Male,8,No,76,40,15,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sawar Gupta,9794212033,Female,9,Yes,16,61,14,F,Failed,Better luck next time,NULL,NULL,NULL
Harminder Tiwari,9935642317,Male,3,Yes,57,82,60,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Kunj Yadav,9716349131,Female,5,No,88,40,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mahendran Singh,9336510835,Female,9,No,96,82,65,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Rathava Yadav,9818021867,Male,9,Yes,27,75,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Gade Yadav,9534274645,Female,7,No,96,20,14,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shabeena Yadav,9554152626,Male,8,No,25,84,52,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Navaneeth Maurya,9678744923,Female,4,Yes,20,22,49,F,Failed,Better luck next time,NULL,NULL,NULL
Hanmanth Rai,9111551750,Female,4,No,30,69,42,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Manivannan Mishra,9001826980,Female,5,Yes,73,88,36,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Savan Rajput,9371632156,Female,3,No,50,30,41,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kritesh Srivastav,9327168085,Female,9,No,88,53,76,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Danaram Pandey,9778237981,Female,6,Yes,46,25,95,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rajgor Mishra,9471560699,Female,7,No,41,37,45,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Jiyalal Singh,9434639655,Male,6,Yes,51,73,17,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dorababu Rai,9671206567,Female,5,Yes,32,43,22,F,Failed,Better luck next time,NULL,NULL,NULL
Tuhin Thakur,9286904842,Female,10,Yes,27,22,42,F,Failed,Better luck next time,NULL,NULL,NULL
Sharadha Sonkar,9465522344,Female,5,No,41,47,60,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Narendrasingh Srivastav,9194934518,Male,7,No,12,19,76,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Biswas Seth,9591401295,Male,5,Yes,30,69,30,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Raja Khan Kumar,9174271993,Male,4,Yes,78,38,53,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Yunus Divedi,9938554197,Male,1,Yes,36,76,46,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Niteen Vishwakarma,9952072539,Female,2,Yes,92,98,57,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Gori Thakur,9845781342,Male,3,Yes,12,85,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sefali Kumari,9863540937,Female,5,Yes,98,26,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dynamo Thakur,9809199544,Male,10,Yes,31,28,67,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Pupu Singh,9226898828,Female,6,No,78,98,91,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Abdul Mannan Vishwakarma,9993424141,Female,8,No,100,58,67,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Esrar Singh,9535788739,Male,2,No,64,34,67,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kislay Pandey,9173156238,Female,4,No,84,20,69,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Deo Thakur,9493611584,Female,10,No,54,25,10,F,Failed,Better luck next time,NULL,NULL,NULL
Rames Divedi,9843395556,Male,10,No,80,10,60,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mohith Tiwari,9293058560,Female,3,No,70,66,85,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Abdulrehman Kumar,9935221363,Male,3,No,55,58,32,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Divyansh Yadav,9265306618,Male,2,Yes,37,37,27,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rashmin Gupta,9644075864,Male,10,Yes,12,45,37,F,Failed,Better luck next time,NULL,NULL,NULL
Dimple Rai,9291457475,Female,7,No,44,84,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bijli Yadav,9363355820,Female,9,No,72,13,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shobharam Tiwari,9401194889,Female,2,No,14,78,52,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Zaara Maurya,9891226054,Female,8,Yes,67,40,22,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kesava Srivastav,9041961082,Male,3,No,82,33,53,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Monu Srivastav,9961711358,Male,10,Yes,53,31,66,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Surindar Seth,9995316675,Male,7,Yes,30,29,36,F,Failed,Better luck next time,NULL,NULL,NULL
Md Wasim Yadav,9039067942,Female,8,Yes,68,79,90,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Yerra Sonkar,9607236291,Female,9,No,95,23,91,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Jakariya Tiwari,9094965216,Male,5,Yes,95,95,57,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Namo Maurya,9966696072,Female,1,Yes,33,93,16,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kummari Divedi,9851149611,Male,10,Yes,75,66,44,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Dillep Rai,9265021675,Female,9,No,51,83,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bhardwaj Divedi,9863758682,Female,6,Yes,57,78,31,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Mukes Pratap,9622324299,Female,6,No,48,41,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Srujana Singh,9853597609,Female,4,No,68,71,84,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Abarna Maurrya,9260759893,Female,8,Yes,19,23,52,F,Failed,Better luck next time,NULL,NULL,NULL
Laxmikanta Rao,9031623034,Male,6,Yes,23,41,44,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Venkatesha Rai,9424707624,Female,7,No,84,89,25,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Rajiv Kumar Rao,9748761408,Male,10,No,23,32,81,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Revanth Rao,9816403854,Female,5,Yes,84,45,68,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Mukesh Sharma Divedi,9392610459,Male,7,No,21,86,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sivakrishna Sonkar,9204212541,Female,1,Yes,73,53,62,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Phool Sonkar,9321956948,Female,10,Yes,26,68,82,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pallav Kumar,9959427887,Male,3,Yes,42,11,17,F,Failed,Better luck next time,NULL,NULL,NULL
Kamalakanta Seth,9086256371,Male,3,No,43,46,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Suren Srivastav,9396156847,Male,2,Yes,70,78,100,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Gyana Thakur,9469779009,Male,2,No,13,75,82,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Dinakar Gupta,9858841092,Female,3,No,89,21,99,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Parthiban Singh,9369044127,Male,2,Yes,56,32,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tilottama Tiwari,9374735848,Male,5,No,100,98,13,B,Average Performance,Better luck next time,NULL,NULL,NULL
Pramod Yadav Maurrya,9030531438,Female,3,No,57,73,83,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Rubeena Vishwakarma,9214220398,Female,1,No,63,36,78,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Narasimman Rai,9451892430,Male,7,No,22,90,45,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Arbaaz Vishwakarma,9108234075,Male,8,Yes,26,21,13,F,Failed,Better luck next time,NULL,NULL,NULL
Rakish Thakur,9147502637,Female,10,Yes,68,96,86,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Ishvar Rai,9687784446,Male,9,No,61,22,66,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rumi Maurya,9858525002,Male,1,No,10,99,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mursleen Pandey,9868816094,Female,6,Yes,34,20,36,F,Failed,Better luck next time,NULL,NULL,NULL
Rajabhau Maurrya,9074218169,Female,9,Yes,61,64,28,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nisant Maurrya,9100094863,Male,1,No,18,24,28,F,Failed,Better luck next time,NULL,NULL,NULL
Tikeswar Pandey,9899565650,Male,8,No,93,57,31,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Anujkumar Yadav,9117911288,Female,3,No,86,33,62,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Asu Rajput,9032884356,Male,5,Yes,20,93,73,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Sonu Saini Yadav,9993458987,Male,9,Yes,67,31,89,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Puspanjali Maurya,9879058779,Female,5,Yes,91,42,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sanjay Yadav Tiwari,9943845668,Male,4,No,63,70,97,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Mir Gupta,9927768398,Female,2,Yes,49,59,75,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Vasa Yadav,9850612384,Male,9,No,83,48,66,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Dharini Pandey,9003978258,Female,10,No,35,90,16,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mukesh Mishra,9995198625,Female,5,Yes,89,62,86,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Rajish Sonkar,9440364988,Male,1,Yes,75,30,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Deepesh Mishra,9145890773,Female,6,Yes,60,10,64,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Alish Sonkar,9270725720,Female,1,No,25,59,54,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sitara Pratap,9010579475,Female,3,No,13,72,80,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Akula Thakur,9210712353,Female,5,No,39,79,29,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Imran Singh,9675670131,Female,2,No,90,91,68,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Ambaliya Singh,9176859313,Male,8,Yes,17,76,30,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dashrth Divedi,9392705858,Male,9,No,37,28,46,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bishnu Prasad Divedi,9295599465,Female,5,Yes,81,71,79,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Kritesh Rajput,9208206440,Female,7,Yes,36,81,84,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Dolan Maurya,9978704496,Male,5,No,98,97,26,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Aswathy Thakur,9093232016,Male,5,Yes,89,92,41,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Rani Pandit,9284422216,Female,3,Yes,63,18,52,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tauseef Rai,9053474990,Female,3,Yes,91,96,11,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Navaz Rai,9188997866,Female,5,No,68,21,65,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Santosh Kr Kumar,9076416821,Male,2,Yes,87,36,95,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Pani Pandit,9611455044,Female,10,Yes,23,52,55,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shohan Divedi,9617288223,Female,3,Yes,32,85,59,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ayan Khan Singh,9543193395,Female,6,Yes,59,59,91,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Sanjivani Pandit,9109568065,Female,2,No,25,10,97,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Siddika Maurya,9522576577,Male,1,Yes,56,81,47,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Virendar Vishwakarma,9156202752,Male,2,Yes,33,19,70,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kaththi Thakur,9878173647,Female,1,Yes,34,56,68,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Hiranmoy Yadav,9712944336,Male,5,Yes,13,17,28,F,Failed,Better luck next time,NULL,NULL,NULL
Chidambaram Singh,9924811045,Female,9,No,66,16,64,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Chhotelal Mishra,9484483938,Male,4,No,54,32,16,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Geetika Mishra,9219167224,Male,2,No,34,39,57,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Umesh Singh Yadav,9060642219,Male,9,No,14,13,53,F,Failed,Better luck next time,NULL,NULL,NULL
Lalsinh Rajput,9695381507,Female,6,Yes,49,13,53,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Vennila Pandey,9862692641,Male,1,No,41,17,30,F,Failed,Better luck next time,NULL,NULL,NULL
Yashasvi Thakur,9830871302,Male,6,No,96,69,27,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Vasantha Pandey,9440065427,Male,4,No,32,51,70,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rupali Sonkar,9370311133,Female,3,No,44,61,76,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shnkar Seth,9997659768,Male,7,No,97,18,90,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Raju Das Rai,9767113408,Female,9,Yes,78,75,49,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Sahaya Thakur,9714852859,Female,5,No,21,20,80,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Khitish Maurrya,9608470551,Male,7,No,86,27,17,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Gajpathi Singh,9057913643,Male,2,Yes,19,21,31,F,Failed,Better luck next time,NULL,NULL,NULL
Smeer Srivastav,9051538398,Male,6,No,89,89,39,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Mukhtiyar Kumari,9313948300,Female,8,Yes,75,21,86,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Divyanshu Gupta,9528713663,Female,3,No,26,78,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Esakkimuthu Kumari,9950227606,Female,2,No,77,70,32,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jigu Devi,9823781784,Female,9,No,20,37,55,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Gulzar Divedi,9030069787,Male,9,Yes,100,47,42,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Sunny Srivastav,9681742806,Male,5,Yes,30,34,85,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rajnandan Divedi,9834745838,Female,4,Yes,59,97,11,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rejabul Pandey,9327181409,Male,5,No,24,22,52,F,Failed,Better luck next time,NULL,NULL,NULL
Bava Maurya,9626797676,Female,7,Yes,99,58,30,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Raheesh Yadav,9436363767,Male,3,Yes,100,99,60,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Prasann Rai,9757732575,Male,5,No,66,18,52,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bibak Maurrya,9616211276,Male,2,Yes,76,69,31,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Maaz Kumar,9481612759,Female,3,Yes,23,93,39,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Arun Singh Mishra,9129466310,Male,3,Yes,37,50,74,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Meren Rai,9453597933,Female,8,No,12,17,72,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Aarish Gupta,9983666197,Female,5,Yes,17,69,47,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tejasvi Yadav,9745020387,Female,5,Yes,31,28,63,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mousam Rajput,9170073979,Female,7,Yes,61,38,36,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shadab Khan Pandey,9814820994,Female,6,No,53,94,28,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Tandel Pandit,9484727523,Female,10,Yes,50,17,63,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Abhay Singh Vishwakarma,9472713269,Male,4,Yes,19,29,63,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Venkates Kumari,9841206046,Male,7,No,86,75,77,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Dasu Tiwari,9450294527,Male,3,Yes,29,19,51,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shyam Sunder Tiwari,9660618195,Male,2,Yes,42,11,94,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kajal Singh Pandit,9182482252,Male,2,Yes,80,25,98,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Pyush Gupta,9105236390,Male,7,No,100,68,60,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Rahila Rao,9756068411,Female,1,No,19,73,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ragava Vishwakarma,9237612077,Female,2,No,65,40,42,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Gurnam Seth,9106202683,Female,6,No,57,50,54,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ravina Mishra,9477234017,Female,10,Yes,41,68,46,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Padmanava Thakur,9431445332,Male,1,No,39,88,92,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Prit Maurrya,9297048052,Female,5,Yes,52,29,94,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sana Kumari,9265661287,Female,2,Yes,48,40,22,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Palas Kumar,9650201010,Female,5,No,64,45,69,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Luxmi Mishra,9226053450,Female,2,Yes,90,20,20,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Harikesh Seth,9572557486,Male,6,No,36,91,73,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Raj Kumari Rao,9101691041,Female,6,Yes,84,25,11,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shoab Sonkar,9319275151,Male,9,Yes,15,67,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Deepu Singh,9592385176,Male,8,Yes,32,22,22,F,Failed,Better luck next time,NULL,NULL,NULL
Shibsankar Thakur,9937745884,Male,9,Yes,58,60,73,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Kamble Srivastav,9763423257,Female,3,No,84,26,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Natvar Rai,9710612422,Male,10,No,11,86,89,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Pardep Mishra,9946997942,Female,4,Yes,77,60,59,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Hulk Seth,9951014062,Female,10,Yes,30,65,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Toran Vishwakarma,9494251860,Female,7,Yes,69,36,46,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nita Divedi,9284393461,Female,8,Yes,84,68,44,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Rohita Divedi,9005420590,Male,8,No,99,61,65,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Durganand Rajput,9150960770,Male,2,No,59,39,59,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sachu Rai,9537026185,Male,5,Yes,55,22,46,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dimpy Pandey,9108944702,Female,1,Yes,36,63,52,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mannu Kumar Maurya,9802362840,Male,3,No,49,85,24,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Saim Mishra,9686823237,Male,6,Yes,37,81,58,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
